bin_width,seed,distinct,recurring,multi,pct_multi,mean_spread,max_spread
0.01,1,129456,20451,10290,50.315388000586765,1.0059280855199222,2
0.01,7,128961,20432,10507,51.424236491777606,1.006186351955839,2
0.01,12345,128961,20502,10371,50.58530875036582,1.0070388583550285,2
0.01,2024,129274,20330,10445,51.377274963108704,1.0069889899473432,2
0.01,99999,129662,20559,10517,51.15521182936913,1.0064657221641153,2
0.02,1,28838,17136,7904,46.12511671335201,1.0168269230769231,2
0.02,7,29032,16883,7942,47.04140259432565,1.014354066985646,2
0.02,12345,28891,17113,7799,45.57354058318238,1.0139761507885627,2
0.02,2024,28817,17099,8028,46.95011404175683,1.014449427005481,2
0.02,99999,29238,17022,7882,46.304782046763016,1.0158589190560772,3
0.03,1,10721,7606,4038,53.08966605311596,1.0215453194650816,3
0.03,7,10835,7545,4031,53.42611000662691,1.0223269660133962,2
0.03,12345,10831,7463,3926,52.60619053999732,1.022159959246052,3
0.03,2024,10751,7525,4136,54.96345514950166,1.0229690522243713,2
0.03,99999,10881,7590,3951,52.055335968379445,1.0268286509744369,3
0.05,1,2994,2360,1437,60.889830508474574,1.0410577592205985,3
0.05,7,2995,2399,1470,61.275531471446435,1.036734693877551,2
0.05,12345,2992,2389,1453,60.820426956885726,1.0419821059876118,3
0.05,2024,2986,2369,1503,63.44449134655973,1.040585495675316,3
0.05,99999,2980,2405,1439,59.83367983367983,1.0521195274496178,3
0.08,1,817,690,463,67.10144927536231,1.08207343412527,3
0.08,7,814,702,493,70.22792022792022,1.081135902636917,3
0.08,12345,801,707,487,68.88260254596888,1.0800821355236139,3
0.08,2024,814,697,500,71.73601147776183,1.084,3
0.08,99999,812,702,466,66.38176638176638,1.1223175965665235,3
