mode,T_star,S_star,R_star,family,seed,s1_pass,adm_pass,s4_pass,terminal_level,error
controlled,0.21,0.7,0.2,F1_degrade,42,True,True,True,0,
controlled,0.21,0.7,0.2,F2_recover,42,True,True,True,0,
controlled,0.21,0.7,0.2,F3_counter_primed,42,True,True,True,1,
controlled,0.21,0.7,0.2,F4_counter_reset,42,,,,,OOS:F4 infeasible for R*=0.200: max ARS drop 0.0542 <= tr=0.1 (Controlled Mode physical constraint; target is out-of-support for F4)
controlled,0.21,0.7,0.2,F1_degrade,137,True,True,True,1,
controlled,0.21,0.7,0.2,F2_recover,137,True,True,True,0,
controlled,0.21,0.7,0.2,F3_counter_primed,137,True,True,True,1,
controlled,0.21,0.7,0.2,F4_counter_reset,137,,,,,OOS:F4 infeasible for R*=0.200: max ARS drop 0.0542 <= tr=0.1 (Controlled Mode physical constraint; target is out-of-support for F4)
controlled,0.21,0.7,0.2,F1_degrade,2024,True,True,True,1,
controlled,0.21,0.7,0.2,F2_recover,2024,True,True,True,0,
controlled,0.21,0.7,0.2,F3_counter_primed,2024,True,True,True,1,
controlled,0.21,0.7,0.2,F4_counter_reset,2024,,,,,OOS:F4 infeasible for R*=0.200: max ARS drop 0.0542 <= tr=0.1 (Controlled Mode physical constraint; target is out-of-support for F4)
controlled,0.29,0.7,0.4,F1_degrade,42,True,True,True,0,
controlled,0.29,0.7,0.4,F2_recover,42,True,True,True,0,
controlled,0.29,0.7,0.4,F3_counter_primed,42,True,True,True,1,
controlled,0.29,0.7,0.4,F4_counter_reset,42,,,,,OOS:F4 infeasible for R*=0.400: max ARS drop 0.0942 <= tr=0.1 (Controlled Mode physical constraint; target is out-of-support for F4)
controlled,0.29,0.7,0.4,F1_degrade,137,True,True,True,1,
controlled,0.29,0.7,0.4,F2_recover,137,True,True,True,1,
controlled,0.29,0.7,0.4,F3_counter_primed,137,True,True,True,1,
controlled,0.29,0.7,0.4,F4_counter_reset,137,,,,,OOS:F4 infeasible for R*=0.400: max ARS drop 0.0942 <= tr=0.1 (Controlled Mode physical constraint; target is out-of-support for F4)
controlled,0.29,0.7,0.4,F1_degrade,2024,True,True,True,1,
controlled,0.29,0.7,0.4,F2_recover,2024,True,True,True,1,
controlled,0.29,0.7,0.4,F3_counter_primed,2024,True,True,True,1,
controlled,0.29,0.7,0.4,F4_counter_reset,2024,,,,,OOS:F4 infeasible for R*=0.400: max ARS drop 0.0942 <= tr=0.1 (Controlled Mode physical constraint; target is out-of-support for F4)
controlled,0.39,0.7,0.65,F1_degrade,42,True,True,True,1,
controlled,0.39,0.7,0.65,F2_recover,42,True,True,True,1,
controlled,0.39,0.7,0.65,F3_counter_primed,42,True,True,True,1,
controlled,0.39,0.7,0.65,F4_counter_reset,42,True,True,True,1,
controlled,0.39,0.7,0.65,F1_degrade,137,True,True,True,2,
controlled,0.39,0.7,0.65,F2_recover,137,True,True,True,1,
controlled,0.39,0.7,0.65,F3_counter_primed,137,True,True,True,1,
controlled,0.39,0.7,0.65,F4_counter_reset,137,True,True,True,1,
controlled,0.39,0.7,0.65,F1_degrade,2024,True,True,True,1,
controlled,0.39,0.7,0.65,F2_recover,2024,True,True,True,1,
controlled,0.39,0.7,0.65,F3_counter_primed,2024,True,True,True,1,
controlled,0.39,0.7,0.65,F4_counter_reset,2024,True,True,True,1,
controlled,0.45,0.7,0.8,F1_degrade,42,True,True,True,1,
controlled,0.45,0.7,0.8,F2_recover,42,True,True,True,1,
controlled,0.45,0.7,0.8,F3_counter_primed,42,True,True,True,1,
controlled,0.45,0.7,0.8,F4_counter_reset,42,True,True,True,1,
controlled,0.45,0.7,0.8,F1_degrade,137,True,True,True,2,
controlled,0.45,0.7,0.8,F2_recover,137,True,True,True,1,
controlled,0.45,0.7,0.8,F3_counter_primed,137,True,True,True,1,
controlled,0.45,0.7,0.8,F4_counter_reset,137,True,True,True,1,
controlled,0.45,0.7,0.8,F1_degrade,2024,True,True,True,1,
controlled,0.45,0.7,0.8,F2_recover,2024,True,True,True,1,
controlled,0.45,0.7,0.8,F3_counter_primed,2024,True,True,True,1,
controlled,0.45,0.7,0.8,F4_counter_reset,2024,True,True,True,1,
controlled,0.51,0.7,0.2,F1_degrade,42,True,True,True,1,
controlled,0.51,0.7,0.2,F2_recover,42,True,True,True,1,
controlled,0.51,0.7,0.2,F3_counter_primed,42,True,True,True,2,
controlled,0.51,0.7,0.2,F4_counter_reset,42,,,,,OOS:F4 infeasible for R*=0.200: max ARS drop 0.0542 <= tr=0.1 (Controlled Mode physical constraint; target is out-of-support for F4)
controlled,0.51,0.7,0.2,F1_degrade,137,True,True,True,2,
controlled,0.51,0.7,0.2,F2_recover,137,True,True,True,1,
controlled,0.51,0.7,0.2,F3_counter_primed,137,True,True,True,2,
controlled,0.51,0.7,0.2,F4_counter_reset,137,,,,,OOS:F4 infeasible for R*=0.200: max ARS drop 0.0542 <= tr=0.1 (Controlled Mode physical constraint; target is out-of-support for F4)
controlled,0.51,0.7,0.2,F1_degrade,2024,True,True,True,2,
