T_star,S_star,R_star,pdi_range,pdi_dis,known_levels,level_F1,level_F2,level_F3,level_F4,n_families
0.68,0.76,0.16,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.76,0.18,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.74,0.28,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.74,0.22,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.74,0.24,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.8,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.74,0.18,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.8,0.28,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.72,0.16,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.7,0.18,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.72,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.8,0.16,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.72,0.22,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.72,0.22,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.78,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.72,0.24,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.74,0.16,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.78,0.16,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.76,0.28,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.76,0.18,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.72,0.28,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.74,0.22,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.72,0.28,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.74,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.76,0.16,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.8,0.22,0,0.0,"[2, 3]",2,2,2,,3
0.64,0.76,0.24,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.8,0.16,0,0.0,"[2, 3]",2,2,2,,3
0.64,0.72,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.74,0.18,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.74,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.72,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.72,0.26,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.76,0.28,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.74,0.24,0,0.0,"[2, 3]",2,2,2,,3
0.72,0.72,0.22,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.76,0.24,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.74,0.24,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.76,0.26,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.72,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.74,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.76,0.16,0,0.0,"[2, 3]",2,2,2,,3
0.64,0.76,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.64,0.78,0.24,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.7,0.28,0,0.0,"[2, 3]",2,2,2,,3
0.66,0.78,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.76,0.2,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.74,0.26,0,0.0,"[2, 3]",2,2,2,,3
0.7,0.72,0.16,0,0.0,"[2, 3]",2,2,2,,3
0.68,0.74,0.16,0,0.0,"[2, 3]",2,2,2,,3
