T_star,S_star,R_star,g_star,direct_band,a_prev,cu_prev,terminal_levels,pdi_potential
0.68,0.76,0.16,0.536,3,3,0,[3],4
0.68,0.76,0.16,0.536,3,1,0,[1],4
0.68,0.76,0.16,0.536,3,0,2,"[0, 1]",4
0.68,0.76,0.16,0.536,3,2,0,[2],4
0.68,0.76,0.16,0.536,3,1,1,[1],4
0.68,0.76,0.16,0.536,3,1,2,"[1, 2]",4
0.68,0.76,0.16,0.536,3,0,1,[0],4
0.68,0.76,0.16,0.536,3,0,0,[0],4
0.68,0.76,0.16,0.536,3,2,2,[2],4
0.68,0.76,0.16,0.536,3,4,0,"[3, 4]",4
0.68,0.76,0.16,0.536,3,3,1,[3],4
0.68,0.76,0.16,0.536,3,2,1,[2],4
0.68,0.76,0.16,0.536,3,3,2,[3],4
0.66,0.76,0.18,0.522,3,3,0,[3],4
0.66,0.76,0.18,0.522,3,1,0,[1],4
0.66,0.76,0.18,0.522,3,0,2,"[0, 1]",4
0.66,0.76,0.18,0.522,3,4,0,"[3, 4]",4
0.66,0.76,0.18,0.522,3,2,0,[2],4
0.66,0.76,0.18,0.522,3,1,2,"[1, 2]",4
0.66,0.76,0.18,0.522,3,0,1,[0],4
0.66,0.76,0.18,0.522,3,0,0,[0],4
0.66,0.76,0.18,0.522,3,2,2,[2],4
0.66,0.76,0.18,0.522,3,3,1,[3],4
0.66,0.76,0.18,0.522,3,1,1,[1],4
0.66,0.76,0.18,0.522,3,2,1,[2],4
0.66,0.76,0.18,0.522,3,3,2,[3],4
0.66,0.74,0.28,0.496,2,3,0,"[2, 3]",4
0.66,0.74,0.28,0.496,2,1,0,[1],4
0.66,0.74,0.28,0.496,2,0,2,"[0, 1]",4
0.66,0.74,0.28,0.496,2,4,0,"[2, 4]",4
0.66,0.74,0.28,0.496,2,2,0,[2],4
0.66,0.74,0.28,0.496,2,1,2,"[1, 2]",4
0.66,0.74,0.28,0.496,2,0,1,[0],4
0.66,0.74,0.28,0.496,2,0,0,[0],4
0.66,0.74,0.28,0.496,2,1,1,[1],4
0.66,0.74,0.28,0.496,2,2,2,[2],4
0.66,0.74,0.28,0.496,2,2,1,[2],4
0.68,0.74,0.22,0.518,3,3,0,[3],4
0.68,0.74,0.22,0.518,3,1,0,[1],4
0.68,0.74,0.22,0.518,3,0,2,"[0, 1]",4
0.68,0.74,0.22,0.518,3,4,0,"[3, 4]",4
0.68,0.74,0.22,0.518,3,2,0,[2],4
0.68,0.74,0.22,0.518,3,1,2,"[1, 2]",4
0.68,0.74,0.22,0.518,3,0,1,[0],4
0.68,0.74,0.22,0.518,3,0,0,[0],4
0.68,0.74,0.22,0.518,3,2,2,[2],4
0.68,0.74,0.22,0.518,3,1,1,[1],4
0.68,0.74,0.22,0.518,3,2,1,[2],4
0.68,0.74,0.22,0.518,3,3,2,[3],4
0.68,0.74,0.22,0.518,3,3,1,[3],4
0.66,0.74,0.24,0.504,3,3,0,[3],4
0.66,0.74,0.24,0.504,3,1,0,[1],4
0.66,0.74,0.24,0.504,3,0,2,"[0, 1]",4
0.66,0.74,0.24,0.504,3,4,0,"[3, 4]",4
0.66,0.74,0.24,0.504,3,2,0,[2],4
0.66,0.74,0.24,0.504,3,1,2,"[1, 2]",4
0.66,0.74,0.24,0.504,3,0,1,[0],4
0.66,0.74,0.24,0.504,3,0,0,[0],4
0.66,0.74,0.24,0.504,3,1,1,[1],4
0.66,0.74,0.24,0.504,3,2,2,[2],4
0.66,0.74,0.24,0.504,3,2,1,[2],4
0.66,0.8,0.2,0.53,3,3,0,[3],4
0.66,0.8,0.2,0.53,3,1,0,[1],4
0.66,0.8,0.2,0.53,3,0,2,"[0, 1]",4
0.66,0.8,0.2,0.53,3,2,0,[2],4
0.66,0.8,0.2,0.53,3,1,1,[1],4
0.66,0.8,0.2,0.53,3,1,2,"[1, 2]",4
0.66,0.8,0.2,0.53,3,0,1,[0],4
0.66,0.8,0.2,0.53,3,0,0,[0],4
0.66,0.8,0.2,0.53,3,2,2,[2],4
0.66,0.8,0.2,0.53,3,4,0,"[3, 4]",4
0.66,0.8,0.2,0.53,3,3,1,[3],4
0.66,0.8,0.2,0.53,3,2,1,[2],4
0.66,0.8,0.2,0.53,3,3,2,[3],4
0.68,0.74,0.18,0.526,3,3,0,[3],4
0.68,0.74,0.18,0.526,3,1,0,[1],4
0.68,0.74,0.18,0.526,3,0,2,"[0, 1]",4
0.68,0.74,0.18,0.526,3,2,0,[2],4
0.68,0.74,0.18,0.526,3,1,1,[1],4
0.68,0.74,0.18,0.526,3,1,2,"[1, 2]",4
0.68,0.74,0.18,0.526,3,0,1,[0],4
0.68,0.74,0.18,0.526,3,0,0,[0],4
0.68,0.74,0.18,0.526,3,2,2,[2],4
0.68,0.74,0.18,0.526,3,4,0,"[3, 4]",4
0.68,0.74,0.18,0.526,3,3,1,[3],4
0.68,0.74,0.18,0.526,3,2,1,[2],4
0.68,0.74,0.18,0.526,3,3,2,[3],4
0.7,0.8,0.28,0.534,3,3,0,[3],4
0.7,0.8,0.28,0.534,3,1,0,[1],4
0.7,0.8,0.28,0.534,3,0,2,"[0, 1]",4
0.7,0.8,0.28,0.534,3,2,0,[2],4
0.7,0.8,0.28,0.534,3,1,1,[1],4
0.7,0.8,0.28,0.534,3,1,2,"[1, 2]",4
0.7,0.8,0.28,0.534,3,0,1,[0],4
0.7,0.8,0.28,0.534,3,0,0,[0],4
0.7,0.8,0.28,0.534,3,2,2,[2],4
0.7,0.8,0.28,0.534,3,4,0,"[3, 4]",4
0.7,0.8,0.28,0.534,3,3,1,[3],4
0.7,0.8,0.28,0.534,3,2,1,[2],4
0.7,0.8,0.28,0.534,3,3,2,[3],4
