mode,T_star,S_star,R_star,prior_level,cu_target,seed,s1_pass,adm_pass,s4_pass,pl_pass,actual_a_H2,actual_cu_H2,terminal_level,error
controlled,0.68,0.76,0.16,0,0,42,True,True,True,True,0,0,0,
controlled,0.68,0.76,0.16,0,0,137,True,True,True,True,0,0,0,
controlled,0.68,0.76,0.16,0,2,42,,,,,,,,OOS:Length 98 != 100
controlled,0.68,0.76,0.16,0,2,137,,,,,,,,OOS:Length 98 != 100
controlled,0.68,0.76,0.16,1,0,42,True,True,True,True,1,2,2,
controlled,0.68,0.76,0.16,1,0,137,True,True,True,True,1,2,2,
controlled,0.68,0.76,0.16,1,2,42,True,True,True,True,1,0,1,
controlled,0.68,0.76,0.16,1,2,137,True,True,True,True,1,0,1,
controlled,0.68,0.76,0.16,2,0,42,True,True,True,True,2,0,2,
controlled,0.68,0.76,0.16,2,0,137,True,True,True,True,2,0,2,
controlled,0.68,0.76,0.16,2,2,42,True,True,True,True,2,0,2,
controlled,0.68,0.76,0.16,2,2,137,True,True,True,True,2,0,2,
controlled,0.68,0.76,0.16,3,0,42,True,True,True,True,3,0,3,
controlled,0.68,0.76,0.16,3,0,137,True,True,True,True,3,0,3,
controlled,0.68,0.76,0.16,3,2,42,True,True,True,True,3,0,3,
controlled,0.68,0.76,0.16,3,2,137,True,True,True,True,3,0,3,
controlled,0.68,0.76,0.16,4,0,42,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.68,0.76,0.16,4,0,137,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.68,0.76,0.16,4,2,42,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.68,0.76,0.16,4,2,137,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.66,0.76,0.18,0,0,42,True,True,True,True,0,0,0,
controlled,0.66,0.76,0.18,0,0,137,True,True,True,True,0,0,0,
controlled,0.66,0.76,0.18,0,2,42,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.76,0.18,0,2,137,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.76,0.18,1,0,42,True,True,True,True,1,0,1,
controlled,0.66,0.76,0.18,1,0,137,True,True,True,True,1,0,1,
controlled,0.66,0.76,0.18,1,2,42,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.76,0.18,1,2,137,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.76,0.18,2,0,42,True,True,True,True,2,0,2,
controlled,0.66,0.76,0.18,2,0,137,True,True,True,True,2,0,2,
controlled,0.66,0.76,0.18,2,2,42,True,True,True,True,2,0,2,
controlled,0.66,0.76,0.18,2,2,137,True,True,True,True,2,0,2,
controlled,0.66,0.76,0.18,3,0,42,True,True,True,True,3,0,3,
controlled,0.66,0.76,0.18,3,0,137,True,True,True,True,3,0,3,
controlled,0.66,0.76,0.18,3,2,42,True,True,True,True,3,0,3,
controlled,0.66,0.76,0.18,3,2,137,True,True,True,True,3,0,3,
controlled,0.66,0.76,0.18,4,0,42,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.66,0.76,0.18,4,0,137,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.66,0.76,0.18,4,2,42,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.66,0.76,0.18,4,2,137,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.66,0.74,0.28,0,0,42,True,True,True,True,0,0,0,
controlled,0.66,0.74,0.28,0,0,137,True,True,True,True,0,0,0,
controlled,0.66,0.74,0.28,0,2,42,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.74,0.28,0,2,137,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.74,0.28,1,0,42,True,True,True,True,1,0,1,
controlled,0.66,0.74,0.28,1,0,137,True,True,True,True,1,0,1,
controlled,0.66,0.74,0.28,1,2,42,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.74,0.28,1,2,137,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.74,0.28,2,0,42,True,True,True,True,2,0,2,
controlled,0.66,0.74,0.28,2,0,137,True,True,True,True,2,0,2,
controlled,0.66,0.74,0.28,2,2,42,True,True,True,True,2,0,2,
controlled,0.66,0.74,0.28,2,2,137,True,True,True,True,2,0,2,
controlled,0.66,0.74,0.28,3,0,42,True,True,True,True,3,0,3,
controlled,0.66,0.74,0.28,3,0,137,True,True,True,True,3,0,3,
controlled,0.66,0.74,0.28,3,2,42,True,True,True,True,3,0,3,
controlled,0.66,0.74,0.28,3,2,137,True,True,True,True,3,0,3,
controlled,0.66,0.74,0.28,4,0,42,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.66,0.74,0.28,4,0,137,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.66,0.74,0.28,4,2,42,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.66,0.74,0.28,4,2,137,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.68,0.74,0.22,0,0,42,True,True,True,True,0,0,0,
controlled,0.68,0.74,0.22,0,0,137,True,True,True,True,0,0,0,
controlled,0.68,0.74,0.22,0,2,42,,,,,,,,OOS:Length 98 != 100
controlled,0.68,0.74,0.22,0,2,137,,,,,,,,OOS:Length 98 != 100
controlled,0.68,0.74,0.22,1,0,42,True,True,True,True,1,2,2,
controlled,0.68,0.74,0.22,1,0,137,True,True,True,True,1,2,2,
controlled,0.68,0.74,0.22,1,2,42,True,True,True,True,1,0,1,
controlled,0.68,0.74,0.22,1,2,137,True,True,True,True,1,0,1,
controlled,0.68,0.74,0.22,2,0,42,True,True,True,True,2,0,2,
controlled,0.68,0.74,0.22,2,0,137,True,True,True,True,2,0,2,
controlled,0.68,0.74,0.22,2,2,42,True,True,True,True,2,0,2,
controlled,0.68,0.74,0.22,2,2,137,True,True,True,True,2,0,2,
controlled,0.68,0.74,0.22,3,0,42,True,True,True,True,3,0,3,
controlled,0.68,0.74,0.22,3,0,137,True,True,True,True,3,0,3,
controlled,0.68,0.74,0.22,3,2,42,True,True,True,True,3,0,3,
controlled,0.68,0.74,0.22,3,2,137,True,True,True,True,3,0,3,
controlled,0.68,0.74,0.22,4,0,42,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.68,0.74,0.22,4,0,137,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.68,0.74,0.22,4,2,42,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.68,0.74,0.22,4,2,137,,,,,,,,OOS:Cannot escalate past level 3
controlled,0.66,0.74,0.24,0,0,42,True,True,True,True,0,0,0,
controlled,0.66,0.74,0.24,0,0,137,True,True,True,True,0,0,0,
controlled,0.66,0.74,0.24,0,2,42,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.74,0.24,0,2,137,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.74,0.24,1,0,42,True,True,True,True,1,0,1,
controlled,0.66,0.74,0.24,1,0,137,True,True,True,True,1,0,1,
controlled,0.66,0.74,0.24,1,2,42,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.74,0.24,1,2,137,,,,,,,,OOS:Length 99 != 100
controlled,0.66,0.74,0.24,2,0,42,True,True,True,True,2,0,2,
controlled,0.66,0.74,0.24,2,0,137,True,True,True,True,2,0,2,
controlled,0.66,0.74,0.24,2,2,42,True,True,True,True,2,0,2,
controlled,0.66,0.74,0.24,2,2,137,True,True,True,True,2,0,2,
controlled,0.66,0.74,0.24,3,0,42,True,True,True,True,3,0,3,
controlled,0.66,0.74,0.24,3,0,137,True,True,True,True,3,0,3,
controlled,0.66,0.74,0.24,3,2,42,True,True,True,True,3,0,3,
