seed,T_star,S_star,R_star,pdi_range,pdi_dis,n_levels,oos_levels,level_map
42,0.68,0.76,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.66,0.76,0.18,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.74,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.74,0.22,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.66,0.74,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.8,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.74,0.18,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.7,0.8,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.72,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.66,0.7,0.18,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.72,0.2,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.66,0.8,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.7,0.72,0.22,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.72,0.22,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.7,0.78,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.7,0.72,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.7,0.74,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.78,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.68,0.76,0.28,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.68,0.76,0.18,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.68,0.72,0.28,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.66,0.74,0.22,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.72,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.74,0.2,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.7,0.76,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.8,0.22,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.64,0.76,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.8,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.64,0.72,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.7,0.74,0.18,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.74,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.72,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.72,0.26,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.7,0.76,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.7,0.74,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.72,0.72,0.22,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.7,0.76,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.74,0.24,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.68,0.76,0.26,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.7,0.72,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.7,0.74,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.76,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.64,0.76,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.64,0.78,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.7,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.66,0.78,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.7,0.76,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.74,0.26,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
42,0.7,0.72,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
42,0.68,0.74,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.68,0.76,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.66,0.76,0.18,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.74,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.74,0.22,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.66,0.74,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.8,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.74,0.18,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.7,0.8,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.72,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.66,0.7,0.18,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.72,0.2,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.66,0.8,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.7,0.72,0.22,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.72,0.22,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.7,0.78,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.7,0.72,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.7,0.74,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.78,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.68,0.76,0.28,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.68,0.76,0.18,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.68,0.72,0.28,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.66,0.74,0.22,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.72,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.74,0.2,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.7,0.76,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.8,0.22,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.64,0.76,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.8,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.64,0.72,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.7,0.74,0.18,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.74,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.72,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.72,0.26,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.7,0.76,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.7,0.74,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.72,0.72,0.22,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.7,0.76,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.74,0.24,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.68,0.76,0.26,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.7,0.72,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.7,0.74,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.76,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.64,0.76,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.64,0.78,0.24,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.7,0.28,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.66,0.78,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.7,0.76,0.2,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.74,0.26,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
137,0.7,0.72,0.16,3,1.0,4,[4],"{0: 0, 1: 1, 2: 2, 3: 3}"
137,0.68,0.74,0.16,3,0.8333333333333334,4,[4],"{0: 0, 1: 2, 2: 2, 3: 3}"
