seed,T_star,S_star,R_star,prior_level,terminal_level,oos,error
42,0.68,0.76,0.16,0,0,False,
42,0.68,0.76,0.16,1,2,False,
42,0.68,0.76,0.16,2,2,False,
42,0.68,0.76,0.16,3,3,False,
42,0.68,0.76,0.16,4,,True,Cannot escalate past level 3
42,0.66,0.76,0.18,0,0,False,
42,0.66,0.76,0.18,1,1,False,
42,0.66,0.76,0.18,2,2,False,
42,0.66,0.76,0.18,3,3,False,
42,0.66,0.76,0.18,4,,True,Cannot escalate past level 3
42,0.66,0.74,0.28,0,0,False,
42,0.66,0.74,0.28,1,1,False,
42,0.66,0.74,0.28,2,2,False,
42,0.66,0.74,0.28,3,3,False,
42,0.66,0.74,0.28,4,,True,Cannot escalate past level 3
42,0.68,0.74,0.22,0,0,False,
42,0.68,0.74,0.22,1,2,False,
42,0.68,0.74,0.22,2,2,False,
42,0.68,0.74,0.22,3,3,False,
42,0.68,0.74,0.22,4,,True,Cannot escalate past level 3
42,0.66,0.74,0.24,0,0,False,
42,0.66,0.74,0.24,1,1,False,
42,0.66,0.74,0.24,2,2,False,
42,0.66,0.74,0.24,3,3,False,
42,0.66,0.74,0.24,4,,True,Cannot escalate past level 3
42,0.66,0.8,0.2,0,0,False,
42,0.66,0.8,0.2,1,1,False,
42,0.66,0.8,0.2,2,2,False,
42,0.66,0.8,0.2,3,3,False,
42,0.66,0.8,0.2,4,,True,Cannot escalate past level 3
42,0.68,0.74,0.18,0,0,False,
42,0.68,0.74,0.18,1,2,False,
42,0.68,0.74,0.18,2,2,False,
42,0.68,0.74,0.18,3,3,False,
42,0.68,0.74,0.18,4,,True,Cannot escalate past level 3
42,0.7,0.8,0.28,0,0,False,
42,0.7,0.8,0.28,1,1,False,
42,0.7,0.8,0.28,2,2,False,
42,0.7,0.8,0.28,3,3,False,
42,0.7,0.8,0.28,4,,True,Cannot escalate past level 3
42,0.68,0.72,0.16,0,0,False,
42,0.68,0.72,0.16,1,2,False,
42,0.68,0.72,0.16,2,2,False,
42,0.68,0.72,0.16,3,3,False,
42,0.68,0.72,0.16,4,,True,Cannot escalate past level 3
42,0.66,0.7,0.18,0,0,False,
42,0.66,0.7,0.18,1,1,False,
42,0.66,0.7,0.18,2,2,False,
42,0.66,0.7,0.18,3,3,False,
42,0.66,0.7,0.18,4,,True,Cannot escalate past level 3
42,0.68,0.72,0.2,0,0,False,
42,0.68,0.72,0.2,1,2,False,
42,0.68,0.72,0.2,2,2,False,
42,0.68,0.72,0.2,3,3,False,
42,0.68,0.72,0.2,4,,True,Cannot escalate past level 3
42,0.66,0.8,0.16,0,0,False,
42,0.66,0.8,0.16,1,1,False,
42,0.66,0.8,0.16,2,2,False,
